None,count,count,count,count,count,count
type,1,2,3,4,5,6
sku_id,,,,,,
2,107.0,,,,,148.0
18,2.0,,,,,5.0
23,1.0,,,,,1.0
36,138.0,1.0,1.0,,1.0,174.0
37,18.0,,,,,20.0
40,216.0,2.0,2.0,,,390.0
41,1.0,,,,,
43,489.0,8.0,5.0,,2.0,755.0
44,14.0,,,,,42.0
45,15.0,,,,,20.0
50,1784.0,33.0,23.0,3.0,7.0,2551.0
52,1651.0,31.0,12.0,1.0,6.0,2396.0
58,85.0,1.0,1.0,,,147.0
64,4.0,,,,,7.0
67,36.0,,,,,49.0
68,403.0,,1.0,,2.0,1428.0
71,38.0,,,,,37.0
85,2.0,,,,,3.0
87,10.0,,1.0,,,15.0
95,873.0,18.0,3.0,,4.0,1446.0
124,2.0,,,,,5.0
131,12.0,,,,,32.0
139,81.0,4.0,1.0,,1.0,120.0
142,8.0,,,,,11.0
149,16.0,,,,,23.0
156,13545.0,322.0,129.0,18.0,86.0,19593.0
169,9192.0,156.0,75.0,6.0,51.0,14667.0
181,196.0,3.0,2.0,1.0,,301.0
184,1.0,,,,,
190,2.0,,,,,6.0
194,116.0,,,,,152.0
195,52.0,,,,,97.0
204,7.0,1.0,1.0,,,10.0
205,8.0,,,,,4.0
206,695.0,6.0,3.0,,1.0,1135.0
208,,,,,,1.0
211,8703.0,266.0,154.0,21.0,48.0,13978.0
212,15.0,2.0,,1.0,,64.0
223,25.0,,,,,37.0
227,55.0,,,,,86.0
243,132.0,,,,,170.0
244,128.0,1.0,,,,162.0
245,4.0,,,,,9.0
251,,,,1.0,,
254,2.0,,,,,4.0
258,2.0,,,,,3.0
260,28.0,,,,,81.0
264,47.0,2.0,,,,96.0
275,503.0,17.0,5.0,,4.0,756.0
276,11398.0,290.0,198.0,3.0,66.0,19931.0
281,8083.0,147.0,54.0,15.0,38.0,12206.0
284,1.0,,,,,1.0
285,1053.0,28.0,7.0,,4.0,1815.0
296,6.0,,,,,8.0
299,131.0,2.0,1.0,,1.0,246.0
301,158.0,1.0,,,1.0,255.0
309,147.0,2.0,1.0,,2.0,248.0
312,667.0,9.0,4.0,,8.0,1238.0
315,552.0,7.0,7.0,,3.0,966.0
321,9.0,,,,,14.0
329,124.0,,,,,219.0
342,654.0,13.0,5.0,1.0,1.0,1080.0
347,28.0,1.0,1.0,,1.0,42.0
351,14.0,,,,,29.0
354,2.0,,,,,4.0
363,6.0,,,,,8.0
369,79.0,,,,,119.0
372,10.0,1.0,,,,15.0
373,,,,,,4.0
376,206.0,1.0,1.0,,,331.0
378,846.0,30.0,8.0,2.0,8.0,1796.0
380,141.0,4.0,2.0,,,209.0
384,1184.0,25.0,24.0,,7.0,2142.0
389,21.0,,,,1.0,32.0
393,89.0,1.0,1.0,,,108.0
396,65.0,2.0,1.0,,,106.0
402,421.0,2.0,2.0,,3.0,626.0
403,53.0,1.0,1.0,,,96.0
421,134.0,1.0,2.0,,,174.0
423,4.0,,,,,3.0
428,191.0,6.0,2.0,,2.0,278.0
436,2.0,,,,,5.0
437,1252.0,33.0,18.0,,5.0,1871.0
442,22.0,,,,,45.0
443,1.0,,,,,
449,2.0,,,,,2.0
451,9.0,,,,,11.0
457,2.0,,,,,3.0
465,92.0,6.0,7.0,,2.0,156.0
480,57.0,,,,,87.0
487,4.0,,,,,7.0
489,588.0,10.0,6.0,,2.0,950.0
496,2.0,,,,,3.0
499,5785.0,52.0,25.0,1.0,26.0,8597.0
502,69.0,,,,,116.0
504,2.0,,,,,2.0
512,7.0,,,,,14.0
524,25.0,3.0,,5.0,,47.0
531,2.0,,,,,3.0
537,23.0,,,,,31.0
545,10.0,,,,,14.0
552,941.0,8.0,8.0,,2.0,1487.0
559,18.0,1.0,,,,18.0
562,,2.0,,,,
568,18.0,1.0,,,,26.0
577,21.0,,,,1.0,25.0
579,25.0,,,,,20.0
583,119.0,5.0,1.0,,,164.0
586,53.0,1.0,3.0,,,82.0
587,2.0,,,,,4.0
589,61.0,1.0,,,,84.0
593,53.0,,,,,93.0
597,10.0,,,,,9.0
600,16.0,,,,,26.0
609,12.0,1.0,1.0,,,13.0
616,611.0,9.0,4.0,,1.0,866.0
619,3.0,,,,,6.0
630,3.0,1.0,,,,3.0
634,8.0,,,,,10.0
638,281.0,3.0,3.0,,,421.0
642,1.0,2.0,,,,4.0
646,22159.0,705.0,341.0,107.0,167.0,31019.0
647,11.0,,,,,13.0
652,2.0,,,,,2.0
654,16.0,2.0,1.0,,,24.0
661,1680.0,46.0,15.0,,17.0,3228.0
663,187.0,4.0,1.0,,,280.0
666,13.0,,,,,9.0
669,117.0,3.0,2.0,,,275.0
676,22.0,,,,,31.0
677,1618.0,33.0,15.0,1.0,9.0,2314.0
685,333.0,5.0,2.0,,2.0,467.0
688,23.0,,,,1.0,37.0
692,933.0,22.0,15.0,,5.0,1818.0
694,161.0,,,,1.0,373.0
698,2.0,2.0,,,,4.0
700,478.0,8.0,5.0,,5.0,913.0
703,1.0,,,,,
728,3.0,,,,,2.0
732,8.0,1.0,,,,12.0
733,15.0,,,,,32.0
735,40.0,1.0,1.0,,,75.0
736,760.0,16.0,12.0,1.0,1.0,1021.0
737,5046.0,192.0,101.0,31.0,39.0,7248.0
738,8.0,,,,,15.0
740,1361.0,53.0,19.0,10.0,14.0,4559.0
745,27.0,,,,,52.0
754,219.0,6.0,3.0,,,340.0
765,1.0,,,,,
768,185.0,13.0,4.0,,,376.0
780,72.0,,,,1.0,143.0
789,1093.0,80.0,40.0,15.0,3.0,1540.0
792,2.0,,,,,3.0
801,1294.0,26.0,15.0,6.0,9.0,2088.0
811,297.0,8.0,5.0,,2.0,486.0
817,26.0,,,,,38.0
818,2.0,,,,,4.0
836,2.0,,,,,3.0
841,1.0,,,,,1.0
847,36.0,,,,,49.0
862,122.0,1.0,,,,189.0
866,4.0,,,,,3.0
880,41.0,,,,,51.0
886,24.0,,,,,35.0
891,230.0,6.0,4.0,1.0,,265.0
898,1.0,,,,,1.0
901,2534.0,39.0,12.0,1.0,11.0,4072.0
903,432.0,10.0,5.0,,1.0,645.0
908,12.0,,,,,3.0
910,1.0,,,,,1.0
914,2.0,,,,,37.0
915,33.0,,,,1.0,43.0
